year,species_code,comp_type,length,ae,ae_al,al,base
1990,10110,female,200,2.0770503837728134,2.113154582567147,2.2840776288675126,2.3746484033204283
1990,10110,female,220,1.686255293852997,1.5016873887417972,1.3655660028085428,1.6008106643881492
1990,10110,female,230,1.936449068867169,1.8653114701322016,2.619812876570696,3.2186139674612693
1990,10110,female,250,1.1223768634282125,1.1590307620163185,1.205500701864049,1.217585437706133
1990,10110,female,260,2.063102644994961,1.8830279821113816,1.3740349687058666,1.6744203317531285
1990,10110,female,290,1.216350037030866,1.1461448091241495,1.2893368896512984,1.5451040324810843
1990,10110,female,300,1.22659815591727,1.1704824940791936,1.1808375428479525,1.40903826718729
1990,10110,female,310,1.6801793079046035,1.600008702236999,1.2806496248818995,1.618526729828785
1990,10110,female,340,2.484564985570047,1.855366062000493,1.6196222390817887,2.3088631133010917
1990,10110,female,360,1.790667235318574,1.6955117025706292,1.7201489160670511,2.229148751937179
1990,10110,female,370,0.9586492058255417,0.9423699513999197,3.835535355670649,4.357034795763996
1990,10110,female,420,2.6243801659411456,2.1286247989784943,1.9262045241368708,2.55719114255579
1990,10110,female,460,2.1802916995057857,2.1485873281307923,0.8117936320338847,0.998540237168803
1990,10110,male,220,1.3059270677514399,1.1552386571331175,1.1339570211787862,1.4422550854175484
1990,10110,male,240,1.7639264241477286,1.6255154887016796,1.458201476931204,1.7032775637535382
1990,10110,male,250,2.1515552645586506,2.0839024668647657,1.6876871740369597,2.162797702546203
1990,10110,male,270,1.5912645646037642,1.4926950479919696,1.8355392946354796,2.0597600453766356
1990,10110,male,290,1.1099476956972105,1.1076855941561912,1.0977249431647367,1.2639009514397113
1990,10110,male,300,1.888742913640692,1.674282266111023,1.4160321004139385,1.7752222928572052
1990,10110,male,360,2.337288784302554,2.0550322944496195,1.4608728220523837,1.8532355129688451
1990,10110,male,410,1.5755518366051062,1.4397152231099255,1.2641987632332723,1.7214067620896973
1990,10110,male,420,1.5743415509698344,1.6338718922093836,1.5596415279016056,1.7914954532464882
1990,10110,total,200,1.9675377429416334,2.2248906723547957,2.4246213544946897,2.5228551453003285
1990,10110,total,220,3.2697826936225205,2.874168001704633,2.2467118904989296,2.690077559269186
1990,10110,total,230,1.899645756340676,1.5614850220735195,1.7589291887332512,1.9228167406458772
1990,10110,total,240,3.7310758128717234,2.9535866221367226,2.8258304693836873,3.985620299011416
1990,10110,total,250,2.9998198763909967,2.8503766158675097,2.069526176297184,2.541489558888257
1990,10110,total,260,3.247223743015083,3.2010600231793207,2.226595091335492,2.9748897475763996
1990,10110,total,270,5.480002136647133,4.136487283076619,3.482034837009032,4.787001652379642
1990,10110,total,290,2.4287876318614905,2.417898765654423,2.1036621295158624,2.6204562322322595
1990,10110,total,300,3.0800726246097785,2.7368794279540762,2.0453105615624154,2.9881156248343164
1990,10110,total,310,2.4587016979430003,2.246635144269739,2.2869391064604923,2.8044983446959066
1990,10110,total,320,3.629445260701791,3.393962666894678,3.813026313299135,5.153063694450285
1990,10110,total,340,4.026513964242078,4.2399991853785215,2.5427474481999037,3.5534475610445324
1990,10110,total,350,2.766085079499306,2.719908629759571,2.759250875791666,3.7515569775010333
1990,10110,total,360,4.509663830593463,3.694709381759568,2.421062755808281,3.1108780684929465
1990,10110,total,370,0.6474474308931308,0.7269540274337739,4.226415094339623,6.336633663366334
1990,10110,total,380,2.969301959627596,3.5510061854415005,2.0265706199668156,2.842778126060681
1990,10110,total,400,2.391971720570311,2.3786249658948093,2.8805676014710335,3.990029068053743
1990,10110,total,410,3.853587518559324,3.2832929510792144,2.084298288290701,3.2673037894549277
1990,10110,total,420,4.720374872141363,4.313046638128237,2.966572223261153,4.486933684515933
1990,10110,total,440,3.764546196551867,2.6752698452636015,2.093818758612703,3.4283737407920736
1990,10110,total,460,2.8474497693395495,3.2062060210754777,1.4170234752033957,1.7637297687170927
1990,21720,female,480,2.2316420440380544,2.0409893794790412,1.7075786307867895,2.154676319374152
1990,21720,female,490,1.1450419142203176,0.8478108955260737,2.377967812922776,1.9891207274498661
1990,21720,female,530,1.7290973615134169,1.4951806641278644,1.4324827475208377,1.982139174551864
1990,21720,female,540,1.8335222570818217,1.5903798088860646,1.5711201381553674,2.0739819136902566
1990,21720,female,560,1.0625885504977453,0.9231990678096661,1.5676657827074247,2.2718603293353175
1990,21720,female,610,2.6885865116815104,2.391555310190288,1.9746704846652037,2.693319836644905
1990,21720,female,630,1.6295978169361738,1.4653441326437744,1.49809143659455,2.165549972555294
1990,21720,male,460,0.9636552787124717,0.939300761932559,2.482311406977733,2.646979027734142
1990,21720,male,480,1.7608236724122097,1.6765298869455596,1.5672488407319634,2.0267302454335736
1990,21720,male,540,0.9007675601475139,0.8985238276520658,1.7634518493778493,2.705353528844267
1990,21720,male,560,2.412661719831634,2.1581099541628737,1.5430231094944424,2.0979427206578944
1990,21720,male,600,2.16633141254033,2.0233249911676485,1.894106660066235,2.4394879195185664
1990,21720,male,610,2.3644768327445767,2.0606531124867296,1.4838931993086377,2.156725278168792
1990,21720,male,630,0.8617039702487811,0.7332314849174406,1.2285601960011456,1.804795412952723
