year,species_code,comp_type,length,ae,ae_al,al,base
1990,21720,total,280,1.4311031566576684,1.3742832766706006,1.1737069349665408,1.2568309168383636
1990,21720,total,390,4.317438270555868,3.48044052165958,2.258231744321169,3.0307733509268977
1990,21720,total,450,1.61181759802982,1.39107484926146,2.126308998689053,3.0391757339933796
1990,21720,total,460,1.2657525787024007,1.1808856459600392,2.3744141350407486,3.0740984943244127
1990,21720,total,480,6.292155018639454,5.592108262744732,3.0749535905475027,4.263358306401547
1990,21720,total,490,1.0560088632525038,0.9501887267624309,4.051922069582277,5.282150253453045
1990,21720,total,500,0.7491074939609218,0.7029092293080905,5.703807431487613,7.598347607103051
1990,21720,total,510,3.695560284963018,3.1632433165854708,3.507596353618556,4.737788332685547
1990,21720,total,520,3.401150078886452,2.967139589775438,2.4509474085804723,3.2212899491916556
1990,21720,total,530,2.4401270409238074,2.611556231620866,3.0602548109151226,4.830404072724287
1990,21720,total,540,3.808611586653902,3.8576886207361065,3.5721402596329566,4.912074643950789
1990,21720,total,550,2.5553457231949976,2.505107274132301,2.168510701547192,2.8080649482872397
1990,21720,total,560,4.167987980268502,3.028997705738261,2.5511332398415734,3.6170575748372005
1990,21720,total,570,10.477865943635807,7.717615912752902,3.492943526262544,6.1078040151065665
1990,21720,total,580,2.176803364362083,2.086593970454131,2.3695055942613084,3.8073198661225818
1990,21720,total,590,4.063531873992768,3.8885035453125414,4.782293952843484,7.538824336413352
1990,21720,total,600,4.455510374050383,3.640238036054364,4.355817865026549,6.361140017358683
1990,21720,total,610,6.2201541863280365,4.400208579327546,2.571075299999252,5.271075161250948
1990,21720,total,620,5.568492276038252,4.845537440445486,2.683896544210089,4.0199819315055825
1990,21720,total,630,2.797403588261625,2.7262549285946274,3.055936809780662,4.87605022758819
1990,21720,total,640,5.568623748550067,4.135666393138067,2.1187451786276617,3.473166043641073
1990,21720,total,650,5.1188037616106925,4.209333196114714,3.200490261104067,5.240970460903769
1990,21720,total,660,5.671396203045824,4.287491825573406,2.1968487163443915,2.766083513222717
1990,21720,total,670,5.275640165597936,4.88411004535041,2.4216849755339833,3.6132677577010033
1990,21720,total,680,1.929097669689817,1.5800901919281682,1.0547572396997886,1.5854472887666056
1990,21720,total,690,2.8583209168192405,2.683185798309557,2.309225212678913,2.741043596095833
1990,21720,total,700,2.3227177589041763,2.187365306286698,1.975059055516766,2.7916986920358378
1990,21720,total,710,1.819253900449203,2.0390154948169723,1.59673856311193,1.8225978578265676
1990,21720,total,720,4.3442851699951355,2.8194091002886,1.263948264465385,2.1221769569034574
1990,21720,total,730,2.193919508377522,1.8478941484896565,1.0132991182606466,1.4337381976412538
1990,21720,total,760,1.8424841319637468,1.6791868940105947,1.2025299998841794,1.9675974501877334
1990,21720,total,770,1.5414802555399427,1.4740303816591982,1.0563643472727613,1.3248494369940236
1990,21720,total,780,1.6947082566002103,1.6642209303655966,0.6667070295998907,0.8766551512243551
1990,21720,total,800,1.8701847493949295,2.1366563606463833,1.1182859095578974,1.1815167187631928
1990,21720,total,810,1.2938714272526766,1.3581747504495338,1.6033132993028663,1.7209034631146407
1990,21720,total,820,1.1978902346075062,1.1449655124515246,1.2291300892046533,1.346109838572923
1990,21720,total,840,1.6619335196572766,1.8128538502379088,0.800535365126289,0.9402999156548436
1990,21720,total,850,1.7520801941379156,1.8323986919929087,1.8988453907554654,2.5504147659761265
1990,21720,total,860,2.1755861733159874,1.9672845489422484,1.1753126735799453,1.2391948013320495
